Path, Allocation (TB), Current Usage (TB), Percent used, New Allocation (TB), Saving (TB), Accumulated saving (TB)
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-pos, 1.76, 0.49, 27.84, 0.88, 0.88, 30.82499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-atl-control, 1.76, 0.25, 14.2, 0.88, 0.88, 31.704999999999988
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 31.98499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 32.264999999999986
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 32.54499999999999
/badc/cmip6/data/CMIP6/GeoMIP/IPSL/IPSL-CM6A-LR/G1, 1.01, 0.15, 14.85, 0.505, 0.505, 33.04999999999999
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solp4p, 1.03, 0.3, 29.13, 0.515, 0.515, 33.56499999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2, 1.03, 0.22, 21.36, 0.515, 0.515, 34.07999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-hist, 3.57, 3.57, 100.0, 3.57, 0.0, 34.07999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/historical, 2.22, 1.03, 46.4, 1.332, 0.8880000000000001, 34.96799999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/piControl, 1.02, 0.16, 15.69, 0.51, 0.51, 35.47799999999999
/badc/cmip6/data/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl, 0.28, 0.28, 100.0, 0.28, 0.0, 35.47799999999999
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl, 29.02, 32.49, 111.96, 29.02, 0.0, 35.47799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-neg, 1.76, 0.49, 27.84, 0.88, 0.88, 36.35799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 36.63799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-pac-control, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 36.91799999999999
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-aer, 0.09, 0.02, 22.22, 0.09, 0.0, 36.91799999999999
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-control, 0.09, 0.02, 22.22, 0.09, 0.0, 36.91799999999999
/badc/cmip6/data/CMIP6/CFMIP/NASA-GISS/GISS-E2-1-G/abrupt-2xCO2, 0.45, 0.08, 17.78, 0.27, 0.18, 37.09799999999999
/badc/cmip6/data/CMIP6/LUMIP/NASA-GISS/GISS-E2-1-G/land-hist, 0.34, 0.0, 0.0, 0.34, 0.0, 37.09799999999999
/badc/cmip6/data/CMIP6/CFMIP/NCAR/CESM2/amip-m4K, 0.42, 0.03, 7.14, 0.252, 0.16799999999999998, 37.26599999999999
/badc/cmip6/data/CMIP6/CFMIP/NCAR/CESM2/amip-p4K, 1.33, 0.03, 2.26, 0.665, 0.665, 37.93099999999999
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/amip, 1.84, 0.88, 47.83, 1.104, 0.736, 38.66699999999999
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/1pctCO2, 1.12, 0.14, 12.5, 0.56, 0.56, 39.22699999999999
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2, 1.99, 0.26, 13.07, 0.995, 0.995, 40.22199999999999
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/historical, 6.37, 6.83, 107.22, 6.37, 0.0, 40.22199999999999
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/piControl, 4.27, 3.74, 87.59, 3.416, 0.8539999999999996, 41.075999999999986
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/1pctCO2, 1.68, 0.17, 10.12, 0.84, 0.84, 41.91599999999999
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2, 0.91, 0.91, 100.0, 0.91, 0.0, 41.91599999999999
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/amip, 1.86, 0.17, 9.14, 0.93, 0.93, 42.84599999999999
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/historical, 5.59, 6.68, 119.5, 5.59, 0.0, 42.84599999999999
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/1pctCO2, 1.38, 0.08, 5.8, 0.69, 0.69, 43.53599999999999
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2, 0.12, 0.12, 100.0, 0.12, 0.0, 43.53599999999999
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical, 4.54, 3.67, 80.84, 3.632, 0.9079999999999999, 44.44399999999999
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/piControl, 2.2, 0.66, 30.0, 1.32, 0.8800000000000001, 45.32399999999999
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2/amip, 1.8, 0.08, 4.44, 0.9, 0.9, 46.22399999999999
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2/historical, 26.43, 27.21, 102.95, 26.43, 0.0, 46.22399999999999
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/day, 0.93, 0.33, 35.48, 0.558, 0.372, 46.59599999999999
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG, 3.85, 3.89, 101.04, 3.85, 0.0, 46.59599999999999
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-aer, 3.31, 3.3, 99.7, 3.31, 0.0, 46.59599999999999
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-nat, 3.9, 3.89, 99.74, 3.9, 0.0, 46.59599999999999
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-stratO3, 2.69, 2.68, 99.63, 2.69, 0.0, 46.59599999999999
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/ssp245-GHG, 1.32, 0.59, 44.7, 0.792, 0.528, 47.12399999999999
/badc/cmip6/data/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-GHG, 1.82, 0.47, 25.82, 0.91, 0.91, 48.033999999999985
/badc/cmip6/data/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-aer, 1.82, 0.47, 25.82, 0.91, 0.91, 48.94399999999998
/badc/cmip6/data/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-nat, 1.82, 0.0, 0.0, 1.82, 0.0, 48.94399999999998
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-ExTrop-pos, 1.76, 0.25, 14.2, 0.88, 0.88, 49.823999999999984
/badc/cmip6/data/CMIP6/FAFMIP/MIROC/MIROC6/faf-all, 0.4, 0.04, 10.0, 0.24, 0.16000000000000003, 49.98399999999998
/badc/cmip6/data/CMIP6/FAFMIP/MIROC/MIROC6/faf-heat, 0.4, 0.04, 10.0, 0.24, 0.16000000000000003, 50.14399999999998
/badc/cmip6/data/CMIP6/FAFMIP/MIROC/MIROC6/faf-passiveheat, 0.4, 0.04, 10.0, 0.24, 0.16000000000000003, 50.303999999999974
/badc/cmip6/data/CMIP6/FAFMIP/MIROC/MIROC6/faf-stress, 0.4, 0.04, 10.0, 0.24, 0.16000000000000003, 50.46399999999997
/badc/cmip6/data/CMIP6/FAFMIP/MIROC/MIROC6/faf-water, 0.4, 0.04, 10.0, 0.24, 0.16000000000000003, 50.62399999999997
/badc/cmip6/data/CMIP6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present, 2.27, 0.73, 32.16, 1.3619999999999999, 0.9080000000000001, 51.53199999999997
/badc/cmip6/data/CMIP6/HighResMIP/IPSL/IPSL-CM6A-LR/highresSST-present, 0.92, 0.09, 9.78, 0.552, 0.368, 51.89999999999997
/badc/cmip6/data/CMIP6/PMIP/IPSL/IPSL-CM6A-LR/lig127k, 1.09, 0.48, 44.04, 0.654, 0.43600000000000005, 52.33599999999997
/badc/cmip6/data/CMIP6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene, 1.31, 0.86, 65.65, 1.048, 0.262, 52.59799999999997
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-4xCO2, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.63799999999997
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-aer, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.67799999999997
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-anthro, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.71799999999997
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-control, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.75799999999997
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-ghg, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.797999999999966
/badc/cmip6/data/CMIP6/RFMIP/MRI/MRI-ESM2-0/piClim-lu, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 52.837999999999965
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp245, 2.76, 2.33, 84.42, 2.2079999999999997, 0.552, 53.389999999999965
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245, 6.43, 6.99, 108.71, 6.43, 0.0, 53.389999999999965
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119, 2.11, 1.07, 50.71, 1.688, 0.42199999999999993, 53.81199999999996
/badc/cmip6/data/CMIP6/ScenarioMIP/MRI/MRI-ESM2-0/ssp370, 4.37, 4.39, 100.46, 4.37, 0.0, 53.81199999999996
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/ssp245-nat, 0.53, 0.53, 100.0, 0.53, 0.0, 53.81199999999996
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-SO2, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 53.89199999999996
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-pac-pacemaker, 0.49, 0.49, 100.0, 0.49, 0.0, 53.89199999999996
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xdust, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 53.97199999999996
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xss, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.05199999999996
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-atl-pacemaker, 0.49, 0.49, 100.0, 0.49, 0.0, 54.05199999999996
/badc/cmip6/data/CMIP6/RFMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-control, 0.07, 0.01, 14.29, 0.07, 0.0, 54.05199999999996
/badc/cmip6/data/CMIP6/RFMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-lu, 0.07, 0.01, 14.29, 0.07, 0.0, 54.05199999999996
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.131999999999955
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-BC, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.211999999999954
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xfire, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.29199999999995
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-N2O, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.37199999999995
/badc/cmip6/data/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp370, 19.31, 21.96, 113.72, 19.31, 0.0, 54.37199999999995
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-HC, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.45199999999995
/badc/cmip6/data/CMIP6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-OC, 0.2, 0.01, 5.0, 0.12, 0.08000000000000002, 54.53199999999995
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2, 1.16, 0.35, 30.17, 0.696, 0.46399999999999997, 54.995999999999945
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical, 30.8, 31.64, 102.73, 30.8, 0.0, 54.995999999999945
