Path, Allocation (TB), Current Usage (TB), Percent used, New Allocation (TB), Saving (TB), Accumulated saving (TB)
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/amip, 1.12, 0.81, 72.32, 0.56, 0.56, 0.56
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/amip, 0.85, 0.26, 30.59, 0.51, 0.33999999999999997, 0.9
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-AM4/amip, 0.75, 0.06, 8.0, 0.44999999999999996, 0.30000000000000004, 1.2000000000000002
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-p4K, 0.07, 0.0, 0.0, 0.07, 0.0, 1.2000000000000002
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-4xCO2, 0.47, 0.05, 10.64, 0.282, 0.188, 1.3880000000000001
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-future4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 1.5000000000000002
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 1.5960000000000003
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2, 0.73, 0.19, 26.03, 0.438, 0.292, 1.8880000000000003
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-lu, 0.09, 0.02, 22.22, 0.09, 0.0, 1.8880000000000003
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 1.9840000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-4xCO2, 0.09, 0.02, 22.22, 0.09, 0.0, 1.9840000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-anthro, 0.09, 0.03, 33.33, 0.09, 0.0, 1.9840000000000004
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-m4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 2.0960000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control-lwoff, 0.07, 0.01, 14.29, 0.07, 0.0, 2.0960000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control, 0.07, 0.0, 0.0, 0.07, 0.0, 2.0960000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-ghg, 0.09, 0.02, 22.22, 0.09, 0.0, 2.0960000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-aer, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 2.1360000000000006
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-anthro, 0.1, 0.03, 30.0, 0.06, 0.04000000000000001, 2.1760000000000006
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-4xCO2, 0.07, 0.0, 0.0, 0.07, 0.0, 2.1760000000000006
/badc/cmip6/data/CMIP6/ISMIP6/NASA-GISS/GISS-E2-1-G/1pctCO2-4xext, 0.09, 0.0, 0.0, 0.09, 0.0, 2.1760000000000006
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Lmon, 0.06, 0.0, 0.0, 0.06, 0.0, 2.1760000000000006
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2, 1.62, 1.68, 103.7, 1.539, 0.08100000000000018, 2.2570000000000006
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Amon, 0.36, 0.19, 52.78, 0.288, 0.07200000000000001, 2.3290000000000006
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K, 0.47, 0.01, 2.13, 0.282, 0.188, 2.517000000000001
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2, 0.47, 0.26, 55.32, 0.376, 0.09399999999999997, 2.6110000000000007
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-2xCO2, 0.47, 0.26, 55.32, 0.376, 0.09399999999999997, 2.7050000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solm4p, 0.47, 0.3, 63.83, 0.376, 0.09399999999999997, 2.7990000000000004
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-piControl, 0.83, 0.44, 53.01, 0.664, 0.16599999999999993, 2.9650000000000003
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical, 3.88, 3.34, 86.08, 1.94, 1.94, 4.905
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl, 1.27, 0.86, 67.72, 0.635, 0.635, 5.54
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/1pctCO2, 0.83, 0.45, 54.22, 0.664, 0.16599999999999993, 5.7059999999999995
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical, 65.63, 67.78, 103.28, 62.348499999999994, 3.281500000000001, 8.9875
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/amip, 0.77, 0.37, 48.05, 0.46199999999999997, 0.30800000000000005, 9.2955
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl, 3.83, 4.42, 115.4, 3.6385, 0.1915, 9.487
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-ExTrop-neg, 0.73, 0.25, 34.25, 0.438, 0.292, 9.779
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-neg, 0.73, 0.25, 34.25, 0.438, 0.292, 10.071
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-pos, 0.73, 0.25, 34.25, 0.438, 0.292, 10.363
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-pos, 0.8, 0.49, 61.25, 0.6400000000000001, 0.15999999999999992, 10.523
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-atl-control, 0.73, 0.25, 34.25, 0.438, 0.292, 10.815
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 11.094999999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 11.374999999999998
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 11.654999999999998
/badc/cmip6/data/CMIP6/GeoMIP/IPSL/IPSL-CM6A-LR/G1, 0.46, 0.15, 32.61, 0.276, 0.184, 11.838999999999997
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solp4p, 0.47, 0.3, 63.83, 0.376, 0.09399999999999997, 11.932999999999996
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2, 0.47, 0.22, 46.81, 0.282, 0.188, 12.120999999999997
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-hist, 3.57, 3.57, 100.0, 3.3914999999999997, 0.1785000000000001, 12.299499999999997
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/historical, 1.21, 1.07, 88.43, 0.605, 0.605, 12.904499999999997
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/piControl, 0.46, 0.22, 47.83, 0.276, 0.184, 13.088499999999996
/badc/cmip6/data/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl, 0.28, 0.72, 257.14, 0.28, 0.0, 13.088499999999996
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl, 29.02, 39.12, 134.8, 27.569, 1.4510000000000005, 14.539499999999997
