Path, MIP, Institute, Model, Experiment, Ensemble, Table, Variable, Allocation (TB), Current Usage (TB), Percent used
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r4i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r4i1p1f1, SImon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r6i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r6i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r4i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r4i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r5i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r5i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r2i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r2i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r5i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r5i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r5i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r5i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r3i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r3i1p1f1, SImon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r2i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r2i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r3i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r3i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r4i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r4i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r6i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r6i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r6i1p1f1/Omon, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r6i1p1f1, Omon, , 0.62, 0.62, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r3i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r3i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/hist-1950/r6i1p1f1/6hrPlevPt, HighResMIP, ECMWF, ECMWF-IFS-HR, hist-1950, r6i1p1f1, 6hrPlevPt, , 1.64, 1.63, 99.39
