Path, Allocation (TB), Current Usage (TB), Percent used, New Allocation (TB), Saving (TB), Accumulated saving (TB)
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/amip, 1.12, 0.81, 72.32, 0.8960000000000001, 0.22399999999999998, 0.22399999999999998
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/amip, 0.85, 0.26, 30.59, 0.51, 0.33999999999999997, 0.564
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-AM4/amip, 0.75, 0.06, 8.0, 0.44999999999999996, 0.30000000000000004, 0.864
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-p4K, 0.07, 0.0, 0.0, 0.07, 0.0, 0.864
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-4xCO2, 0.47, 0.05, 10.64, 0.282, 0.188, 1.052
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-future4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 1.1640000000000001
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 1.2600000000000002
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2, 0.73, 0.19, 26.03, 0.438, 0.292, 1.5520000000000003
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-lu, 0.09, 0.02, 22.22, 0.09, 0.0, 1.5520000000000003
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 1.6480000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-4xCO2, 0.09, 0.02, 22.22, 0.09, 0.0, 1.6480000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-anthro, 0.09, 0.03, 33.33, 0.09, 0.0, 1.6480000000000004
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-m4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 1.7600000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control-lwoff, 0.07, 0.01, 14.29, 0.07, 0.0, 1.7600000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control, 0.07, 0.0, 0.0, 0.07, 0.0, 1.7600000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-ghg, 0.09, 0.02, 22.22, 0.09, 0.0, 1.7600000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-aer, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 1.8000000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-anthro, 0.1, 0.03, 30.0, 0.06, 0.04000000000000001, 1.8400000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-4xCO2, 0.07, 0.0, 0.0, 0.07, 0.0, 1.8400000000000005
/badc/cmip6/data/CMIP6/ISMIP6/NASA-GISS/GISS-E2-1-G/1pctCO2-4xext, 0.09, 0.0, 0.0, 0.09, 0.0, 1.8400000000000005
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Lmon, 0.06, 0.0, 0.0, 0.06, 0.0, 1.8400000000000005
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2, 1.62, 1.68, 103.7, 1.62, 0.0, 1.8400000000000005
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Amon, 0.36, 0.19, 52.78, 0.288, 0.07200000000000001, 1.9120000000000006
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K, 0.47, 0.01, 2.13, 0.282, 0.188, 2.1000000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2, 0.47, 0.26, 55.32, 0.376, 0.09399999999999997, 2.1940000000000004
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-2xCO2, 0.47, 0.26, 55.32, 0.376, 0.09399999999999997, 2.2880000000000003
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solm4p, 0.47, 0.3, 63.83, 0.376, 0.09399999999999997, 2.382
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-piControl, 0.83, 0.44, 53.01, 0.664, 0.16599999999999993, 2.548
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical, 3.88, 3.72, 95.88, 3.88, 0.0, 2.548
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl, 1.27, 0.86, 67.72, 1.016, 0.254, 2.802
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/1pctCO2, 0.83, 0.45, 54.22, 0.664, 0.16599999999999993, 2.968
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical, 65.63, 67.78, 103.28, 65.63, 0.0, 2.968
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/amip, 0.77, 0.37, 48.05, 0.46199999999999997, 0.30800000000000005, 3.276
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl, 3.83, 4.83, 126.11, 3.83, 0.0, 3.276
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-ExTrop-neg, 0.73, 0.25, 34.25, 0.438, 0.292, 3.5679999999999996
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-neg, 0.73, 0.25, 34.25, 0.438, 0.292, 3.8599999999999994
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-pos, 0.73, 0.25, 34.25, 0.438, 0.292, 4.151999999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-pos, 0.8, 0.49, 61.25, 0.6400000000000001, 0.15999999999999992, 4.311999999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-atl-control, 0.73, 0.25, 34.25, 0.438, 0.292, 4.603999999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 4.8839999999999995
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 5.164
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 5.444
/badc/cmip6/data/CMIP6/GeoMIP/IPSL/IPSL-CM6A-LR/G1, 0.46, 0.15, 32.61, 0.276, 0.184, 5.628
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solp4p, 0.47, 0.3, 63.83, 0.376, 0.09399999999999997, 5.722
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2, 0.47, 0.22, 46.81, 0.282, 0.188, 5.91
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-hist, 3.57, 3.57, 100.0, 3.57, 0.0, 5.91
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/historical, 1.21, 1.07, 88.43, 0.968, 0.242, 6.152
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/piControl, 0.46, 0.22, 47.83, 0.276, 0.184, 6.336
/badc/cmip6/data/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl, 0.28, 0.4, 142.86, 0.28, 0.0, 6.336
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl, 29.02, 38.3, 131.98, 29.02, 0.0, 6.336
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-neg, 0.8, 0.49, 61.25, 0.6400000000000001, 0.15999999999999992, 6.496
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 6.776000000000001
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-pac-control, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 7.056000000000001
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-aer, 0.09, 0.02, 22.22, 0.09, 0.0, 7.056000000000001
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-control, 0.09, 0.02, 22.22, 0.09, 0.0, 7.056000000000001
/badc/cmip6/data/CMIP6/CFMIP/NASA-GISS/GISS-E2-1-G/abrupt-2xCO2, 0.45, 0.08, 17.78, 0.27, 0.18, 7.236000000000001
/badc/cmip6/data/CMIP6/LUMIP/NASA-GISS/GISS-E2-1-G/land-hist, 0.34, 0.0, 0.0, 0.34, 0.0, 7.236000000000001
/badc/cmip6/data/CMIP6/CFMIP/NCAR/CESM2/amip-m4K, 0.42, 0.03, 7.14, 0.252, 0.16799999999999998, 7.404000000000001
/badc/cmip6/data/CMIP6/CFMIP/NCAR/CESM2/amip-p4K, 0.6, 0.03, 5.0, 0.36, 0.24, 7.644000000000001
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/amip, 1.0, 1.19, 119.0, 1.0, 0.0, 7.644000000000001
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/1pctCO2, 0.51, 0.15, 29.41, 0.306, 0.20400000000000001, 7.848000000000001
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2, 0.82, 0.28, 34.15, 0.49199999999999994, 0.328, 8.176
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/historical, 6.37, 7.9, 124.02, 6.37, 0.0, 8.176
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/piControl, 3.11, 4.64, 149.2, 3.11, 0.0, 8.176
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/1pctCO2, 0.69, 0.17, 24.64, 0.414, 0.27599999999999997, 8.452
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2, 0.91, 0.91, 100.0, 0.91, 0.0, 8.452
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/amip, 0.77, 0.26, 33.77, 0.46199999999999997, 0.30800000000000005, 8.76
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/historical, 5.59, 6.76, 120.93, 5.59, 0.0, 8.76
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/1pctCO2, 0.63, 0.08, 12.7, 0.378, 0.252, 9.012
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2, 0.12, 0.12, 100.0, 0.12, 0.0, 9.012
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical, 3.3, 4.96, 150.3, 3.3, 0.0, 9.012
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/piControl, 1.2, 0.96, 80.0, 0.96, 0.24, 9.252
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2/amip, 0.75, 0.12, 16.0, 0.44999999999999996, 0.30000000000000004, 9.552000000000001
/badc/cmip6/data/CMIP6/CMIP/NCAR/CESM2/historical, 26.43, 27.24, 103.06, 26.43, 0.0, 9.552000000000001
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/day, 0.85, 0.34, 40.0, 0.51, 0.33999999999999997, 9.892000000000001
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG, 3.85, 3.9, 101.3, 3.85, 0.0, 9.892000000000001
/badc/cmip6/data/CMIP6/DAMIP/IPSL/IPSL-CM6A-LR/hist-aer, 3.31, 3.31, 100.0, 3.31, 0.0, 9.892000000000001
